"consulta","aeroporto","cluster","clusters_casados","cliques","impressoes","ctr","posicao"
"estacionamento barato em viracopos","VCP","barato","barato","3","72","4.17","8.14"
"estacionamento barato perto de viracopos","VCP","proximidade","proximidade barato","3","66","4.55","6.30"
"estacionamento dentro do aeroporto de confins","CNF","proximidade","proximidade","3","443","0.68","13.95"
"estacionamento em guarulhos perto do aeroporto","GRU","proximidade","proximidade","3","121","2.48","40.82"
"estacionamento oficial econômico aeroporto de viracopos","VCP","barato","barato","3","468","0.64","8.59"
"estacionamento perto aeroporto viracopos campinas","VCP","proximidade","proximidade","3","28","10.71","8.39"
"estacionamento próximo aeroporto de campinas","VCP","proximidade","proximidade","3","212","1.42","6.98"
"estacionamento próximo ao aeroporto de curitiba","CWB","proximidade","proximidade","3","146","2.05","9.10"
"estacionamento viracopos diaria","VCP","preco","preco","3","193","1.55","7.60"
"estacionamentos perto de viracopos","VCP","proximidade","proximidade","3","130","2.31","7.09"
"melhor estacionamento perto do aeroporto de guarulhos","GRU","proximidade","proximidade","3","68","4.41","28.53"
"preco estacionamento afonso pena","CWB","preco","preco","3","91","3.30","3.97"
"qual o valor do estacionamento do aeroporto de curitiba","CWB","preco","preco","3","152","1.97","8.98"
"quanto custa estacionamento aeroporto curitiba","CWB","preco","preco","3","206","1.46","9.56"
"quanto custa o estacionamento do aeroporto afonso pena","CWB","preco","preco","3","95","3.16","4.57"
"valor do estacionamento do aeroporto de viracopos","VCP","preco","preco","3","446","0.67","7.84"
"valor do estacionamento no aeroporto de viracopos","VCP","preco","preco","3","383","0.78","8.58"
"valor estacionamento aeroporto campinas","VCP","preco","preco","3","472","0.64","8.50"
"valor estacionamento aeroporto guarulhos","GRU","preco","preco","3","1353","0.22","13.29"
"valor estacionamento viracopos","VCP","preco","preco","3","1204","0.25","8.39"
"custo estacionamento viracopos","VCP","preco","preco","2","144","1.39","8.92"
"desconto estacionamento aeroporto curitiba","CWB","barato","barato","2","82","2.44","5.07"
"diaria estacionamento viracopos","VCP","preco","preco","2","1472","0.14","10.31"
"diária estacionamento aeroporto afonso pena","CWB","preco","preco","2","197","1.02","8.95"
"diária estacionamento aeroporto guarulhos","GRU","preco","preco","2","436","0.46","33.92"
"estacionamento aeroporto campinas valor","VCP","preco","preco","2","299","0.67","7.93"
"estacionamento aeroporto guarulhos valor","GRU","preco","preco","2","296","0.68","19.39"
"estacionamento barato aeroporto guarulhos","GRU","barato","barato","2","181","1.10","37.81"
"estacionamento barato em guarulhos","GRU","barato","barato","2","161","1.24","37.99"
"estacionamento confins mais barato","CNF","barato","barato","2","35","5.71","21.71"
"estacionamento dentro aeroporto viracopos","VCP","proximidade","proximidade","2","144","1.39","5.26"
"estacionamento dentro de viracopos","VCP","proximidade","proximidade","2","212","0.94","7.42"
"estacionamento economico viracopos","VCP","barato","barato","2","388","0.52","12.83"
"estacionamento gru barato","GRU","barato","barato","2","61","3.28","38.16"
"estacionamento guarulhos mais barato","GRU","barato","barato","2","231","0.87","29.19"
"estacionamento mais barato aeroporto curitiba","CWB","barato","barato","2","44","4.55","7.93"
"estacionamento perto aeroporto guarulhos","GRU","proximidade","proximidade","2","1004","0.20","47.33"
"estacionamento perto de viracopos campinas","VCP","proximidade","proximidade","2","106","1.89","4.10"
"estacionamento proximo aeroporto confins","CNF","proximidade","proximidade","2","193","1.04","17.59"
"estacionamento proximo aeroporto viracopos campinas","VCP","proximidade","proximidade","2","26","7.69","5.62"
"estacionamento proximo ao aeroporto de campinas","VCP","proximidade","proximidade","2","159","1.26","7.21"
"estacionamento proximo ao aeroporto de viracopos","VCP","proximidade","proximidade","2","83","2.41","5.41"
"estacionamento próximo aeroporto afonso pena","CWB","proximidade","proximidade","2","244","0.82","10.05"
"estacionamento próximo ao aeroporto de guarulhos mais barato","GRU","proximidade","proximidade barato","2","66","3.03","22.71"
"estacionamento próximo ao aeroporto viracopos","VCP","proximidade","proximidade","2","103","1.94","6.96"
"estacionamento próximo viracopos","VCP","proximidade","proximidade","2","127","1.57","7.03"
"estacionamentos perto do aeroporto de viracopos","VCP","proximidade","proximidade","2","136","1.47","5.80"
"estapar viracopos economico","VCP","barato","barato","2","7","28.57","8.29"
"preco estacionamento guarulhos","GRU","preco","preco","2","77","2.60","24.12"
"preco estacionamento viracopos","VCP","preco","preco","2","320","0.63","8.71"
"qual estacionamento mais proximo do aeroporto de confins","CNF","proximidade","proximidade","2","16","12.50","7.81"
"qual o valor do estacionamento do aeroporto de viracopos","VCP","preco","preco","2","365","0.55","8.74"
"quanto custa deixar o carro no aeroporto de guarulhos","GRU","preco","preco","2","159","1.26","27.42"
"quanto custa o estacionamento do aeroporto de viracopos","VCP","preco","preco","2","382","0.52","9.15"
"valor da diaria do estacionamento do aeroporto de viracopos","VCP","preco","preco","2","259","0.77","9.23"
"valor da diaria estacionamento aeroporto guarulhos","GRU","preco","preco","2","107","1.87","35.65"
"valor diaria estacionamento viracopos","VCP","preco","preco","2","231","0.87","7.69"
"valor do estacionamento do aeroporto de guarulhos","GRU","preco","preco","2","911","0.22","18.09"
"valor estacionamento aeroporto guarulhos terminal 2","GRU","preco","preco","2","282","0.71","13.84"
"viracopos estacionamento preço","VCP","preco","preco","2","164","1.22","9.05"
"aeroporto viracopos estacionamento preço","VCP","preco","preco","1","459","0.22","11.43"
"cupom de desconto virapark campinas","VCP","barato","barato","1","9","11.11","12.33"
"desconto estacionamento viracopos","VCP","barato","barato","1","80","1.25","8.10"
"diaria aeroporto guarulhos","GRU","preco","preco","1","461","0.22","17.64"
"diaria estacionamento confins","CNF","preco","preco","1","107","0.93","23.31"
"distancia virapark aeroporto viracopos","VCP","proximidade","proximidade","1","333","0.30","7.94"
"diária de r$ 9,90 a partir da 5ª diária - estacionamento aeroporto confins - multipark","CNF","preco","preco","1","78","1.28","10.45"
"diária do estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","90","1.11","35.09"
"edificio garagem viracopos preço","VCP","preco","preco","1","32","3.13","7.97"
"estacionamento aeroporto confins preço","CNF","preco","preco","1","95","1.05","21.11"
"estacionamento aeroporto curitiba valor","CWB","preco","preco","1","172","0.58","9.59"
"estacionamento aeroporto de guarulhos barato","GRU","barato","barato","1","10","10.00","7.10"
"estacionamento aeroporto guarulhos diaria","GRU","preco","preco","1","114","0.88","39.72"
"estacionamento aeroporto guarulhos mais proximo","GRU","proximidade","proximidade","1","1","100.00","2.00"
"estacionamento aeroporto viracopos valor","VCP","preco","preco","1","123","0.81","10.59"
"estacionamento barato aeroporto confins","CNF","barato","barato","1","2","50.00","13.00"
"estacionamento barato no aeroporto de guarulhos","GRU","barato","barato","1","5","20.00","5.00"
"estacionamento confins preço","CNF","preco","preco","1","15","6.67","11.93"
"estacionamento dentro do aeroporto de guarulhos","GRU","proximidade","proximidade","1","413","0.24","33.93"
"estacionamento dentro viracopos","VCP","proximidade","proximidade","1","47","2.13","3.45"
"estacionamento economico aeroporto guarulhos","GRU","barato","barato","1","3","33.33","14.33"
"estacionamento economico aeroporto viracopos","VCP","barato","barato","1","3","33.33","11.67"
"estacionamento em viracopos valor","VCP","preco","preco","1","49","2.04","4.20"
"estacionamento guarulhos barato","GRU","barato","barato","1","89","1.12","27.04"
"estacionamento guarulhos preço","GRU","preco","preco","1","896","0.11","39.18"
"estacionamento mais barato aeroporto confins","CNF","barato","barato","1","11","9.09","2.73"
"estacionamento oficial economico aeroporto de viracopos","VCP","barato","barato","1","228","0.44","16.93"
"estacionamento perto aeroporto afonso pena","CWB","proximidade","proximidade","1","3","33.33","13.00"
"estacionamento perto confins","CNF","proximidade","proximidade","1","14","7.14","16.64"
"estacionamento perto do aeroporto de confins","CNF","proximidade","proximidade","1","102","0.98","22.76"
"estacionamento perto do aeroporto de guarulhos","GRU","proximidade","proximidade","1","1980","0.05","38.60"
"estacionamento proximo a guarulhos","GRU","proximidade","proximidade","1","39","2.56","41.59"
"estacionamento proximo aeroporto de guarulhos","GRU","proximidade","proximidade","1","56","1.79","48.59"
"estacionamento proximo ao aeroporto confins","CNF","proximidade","proximidade","1","81","1.23","22.35"
"estacionamento proximo ao aeroporto guarulhos","GRU","proximidade","proximidade","1","1044","0.10","46.48"
"estacionamento próximo a confins","CNF","proximidade","proximidade","1","5","20.00","20.40"
"estacionamento próximo aeroporto de guarulhos","GRU","proximidade","proximidade","1","655","0.15","47.99"
"estacionamento próximo aeroporto viracopos","VCP","proximidade","proximidade","1","210","0.48","7.45"
"estacionamento viracopos dentro do aeroporto","VCP","proximidade","proximidade","1","185","0.54","4.30"
"estacionamento viracopos desconto azul","VCP","barato","barato","1","29","3.45","15.07"
"estacionamento viracopos preco","VCP","preco","preco","1","118","0.85","9.57"
"estacionamento viracopos valor","VCP","preco","preco","1","507","0.20","11.30"
"estacionamentos perto do aeroporto afonso pena","CWB","proximidade","proximidade","1","25","4.00","9.44"
"estacionamentos perto do aeroporto de curitiba","CWB","proximidade","proximidade","1","87","1.15","9.28"
"estacionamentos perto do aeroporto de guarulhos","GRU","proximidade","proximidade","1","212","0.47","33.87"
"estacionamentos proximo aeroporto confins","CNF","proximidade","proximidade","1","12","8.33","8.17"
"estacionamentos próximo aeroporto de guarulhos","GRU","proximidade","proximidade","1","82","1.22","41.59"
"imagens de garageinn viracopos - estacione dentro do aeroporto de viracopos","VCP","proximidade","proximidade","1","159","0.63","8.36"
"preco estacionamento gru","GRU","preco","preco","1","293","0.34","18.66"
"preço diaria estacionamento viracopos","VCP","preco","preco","1","154","0.65","7.08"
"preço estacionamento aeroporto guarulhos","GRU","preco","preco","1","1115","0.09","24.27"
"preço estacionamento confins","CNF","preco","preco","1","45","2.22","15.16"
"preço estacionamento guarulhos","GRU","preco","preco","1","572","0.17","42.38"
"preço estacionamento viracopos campinas","VCP","preco","preco","1","67","1.49","10.43"
"qual estacionamento fica dentro do aeroporto de viracopos","VCP","proximidade","proximidade","1","119","0.84","5.86"
"qual estacionamento mais barato aeroporto guarulhos","GRU","barato","barato","1","13","7.69","1.00"
"qual estacionamento mais barato em confins","CNF","barato","barato","1","37","2.70","9.16"
"qual o estacionamento dentro do aeroporto de viracopos","VCP","proximidade","proximidade","1","104","0.96","3.15"
"qual o preço do estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","104","0.96","23.87"
"qual o valor da diária do estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","118","0.85","22.04"
"qual o valor da diária no aeroporto de guarulhos","GRU","preco","preco","1","132","0.76","22.07"
"qual o valor do estacionamento do aeroporto de confins","CNF","preco","preco","1","32","3.13","4.16"
"qual o valor do estacionamento no aeroporto de confins","CNF","preco","preco","1","58","1.72","4.95"
"qual o valor do estacionamento no aeroporto de curitiba","CWB","preco","preco","1","31","3.23","8.26"
"qual valor diaria estacionamento aeroporto guarulhos","GRU","preco","preco","1","57","1.75","36.67"
"qual valor do estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","245","0.41","20.70"
"quanto custa estacionamento no aeroporto de guarulhos","GRU","preco","preco","1","199","0.50","21.16"
"quanto custa o estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","405","0.25","18.07"
"valor da diaria no estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","100","1.00","25.14"
"valor diaria estacionamento aeroporto afonso pena","CWB","preco","preco","1","121","0.83","7.24"
"valor diaria estacionamento confins","CNF","preco","preco","1","40","2.50","10.10"
"valor do estacionamento de viracopos","VCP","preco","preco","1","126","0.79","9.38"
"valor do estacionamento do aeroporto de campinas","VCP","preco","preco","1","169","0.59","9.52"
"valor do estacionamento do aeroporto de curitiba","CWB","preco","preco","1","179","0.56","8.91"
"valor estacionamento aeroporto confins","CNF","preco","preco","1","299","0.33","10.58"
"valor estacionamento aeroporto viracopos campinas","VCP","preco","preco","1","323","0.31","9.73"
"valor estacionamento dentro aeroporto guarulhos","GRU","proximidade","proximidade preco","1","292","0.34","11.51"
"valor estacionamento viracopos campinas","VCP","preco","preco","1","146","0.68","9.90"
"valores do estacionamento do aeroporto de guarulhos","GRU","preco","preco","1","64","1.56","27.75"
"acm guarulhos preços","GRU","preco","preco","0","1","0.00","1.00"
"aeroporto confins hotel proximo","CNF","proximidade","proximidade","0","1","0.00","2.00"
"aeroporto curitiba estacionamento valor","CWB","preco","preco","0","12","0.00","9.92"
"aeroporto de belo horizonte por dentro","CNF","proximidade","proximidade","0","2","0.00","4.50"
"aeroporto de confins estacionamento preço","CNF","preco","preco","0","1","0.00","13.00"
"aeroporto de confins por dentro","CNF","proximidade","proximidade","0","158","0.00","6.64"
"aeroporto de guarulhos estacionamento preço","GRU","preco","preco","0","104","0.00","42.98"
"aeroporto de guarulhos estacionamento valor","GRU","preco","preco","0","104","0.00","46.64"
"aeroporto de guarulhos valor do estacionamento","GRU","preco","preco","0","1","0.00","1.00"
"aeroporto de viracopos por dentro","VCP","proximidade","proximidade","0","9","0.00","18.78"
"aeroporto guarulhos distancia","GRU","proximidade","proximidade","0","1","0.00","1.00"
"aeroporto guarulhos estacionamento barato","GRU","barato","barato","0","73","0.00","43.95"
"aeroporto guarulhos estacionamento preço","GRU","preco","preco","0","11","0.00","40.64"
"aeroporto mais perto de campinas","VCP","proximidade","proximidade","0","1","0.00","1.00"
"aeroporto mais perto de campinas sp","VCP","proximidade","proximidade","0","2","0.00","1.00"
"aeroporto mais perto de curitiba","CWB","proximidade","proximidade","0","1","0.00","3.00"
"aeroporto mais proximo de campinas","VCP","proximidade","proximidade","0","1","0.00","1.00"
"aeroporto mais proximo de campinas sp","VCP","proximidade","proximidade","0","1","0.00","1.00"
"aeroporto mais proximo de curitiba","CWB","proximidade","proximidade","0","1","0.00","3.00"
"aeroporto mais próximo de curitiba","CWB","proximidade","proximidade","0","2","0.00","2.00"
"aeroporto perto de campinas","VCP","proximidade","proximidade","0","4","0.00","1.50"
"aeroporto perto de campinas sp","VCP","proximidade","proximidade","0","1","0.00","3.00"
"aeroporto perto de curitiba","CWB","proximidade","proximidade","0","3","0.00","2.33"
"aeroporto proximo a curitiba","CWB","proximidade","proximidade","0","2","0.00","2.00"
"aeroporto proximo de curitiba","CWB","proximidade","proximidade","0","1","0.00","13.00"
"aeroporto viracopos hotel proximo","VCP","proximidade","proximidade","0","1","0.00","2.00"
"aluguel de carros -- guarulhos preços","GRU","preco","preco","0","1","0.00","1.00"
"aluguel de carros guarulhos preços","GRU","preco","preco","0","1","0.00","1.00"
"avaliações sobre jfparking - estacionamento econômico e seguro em viracopos campinas","VCP","barato","barato","0","4","0.00","14.00"
"bairro perto do aeroporto viracopos","VCP","proximidade","proximidade","0","1","0.00","2.00"
"bairros próximo ao aeroporto de guarulhos","GRU","proximidade","proximidade","0","1","0.00","1.00"
"br parking guarulhos preço","GRU","preco","preco","0","25","0.00","46.64"
"campinas congonhas distancia","VCP","proximidade","proximidade","0","3","0.00","79.67"
"central park confins diárias a partir de r$ 20","CNF","preco","preco","0","15","0.00","9.80"
"central park confins diárias a partir de r$ 20 fotos","CNF","preco","preco","0","3","0.00","12.00"
"central park confins diárias a partir de r$ 22,00","CNF","preco","preco","0","138","0.00","10.74"
"como funcionam os estacionamentos de longa permanência perto do aeroporto de guarulhos","GRU","proximidade","proximidade","0","30","0.00","42.80"
"como funcionam os estacionamentos de longa permanência perto do aeroporto de guarulhos?","GRU","proximidade","proximidade","0","2","0.00","12.00"
"cupom de desconto estacionamento aeroporto confins","CNF","barato","barato","0","1","0.00","1.00"
"cupom de desconto estapar viracopos","VCP","barato","barato","0","4","0.00","9.75"
"cupom de desconto indigo neo guarulhos","GRU","barato","barato","0","1","0.00","3.00"
"cupom desconto estacionamento aeroporto confins","CNF","barato","barato","0","1","0.00","3.00"
"cupom desconto estacionamento confins","CNF","barato","barato","0","5","0.00","1.40"
"cupom desconto estacionamento gru airport","GRU","barato","barato","0","2","0.00","2.00"
"cupom desconto estapar viracopos","VCP","barato","barato","0","8","0.00","11.63"
"cupom desconto indigo estacionamento guarulhos","GRU","barato","barato","0","5","0.00","19.60"
"cupom estacionamento aeroporto confins","CNF","barato","barato","0","3","0.00","3.33"
"cupom estapar viracopos","VCP","barato","barato","0","7","0.00","21.86"
"custo do estacionamento no aeroporto de guarulhos","GRU","preco","preco","0","1","0.00","1.00"
"custo estacionamento aeroporto guarulhos","GRU","preco","preco","0","113","0.00","29.53"
"dentro do aeroporto de guarulhos","GRU","proximidade","proximidade","0","1","0.00","62.00"
"dentro do aeroporto de guarulhos tem hotel","GRU","proximidade","proximidade","0","1","0.00","2.00"
"desconto aeroporto guarulhos","GRU","barato","barato","0","16","0.00","34.56"
"desconto estacionamento aeroporto confins","CNF","barato","barato","0","11","0.00","21.91"
"desconto estacionamento aeroporto guarulhos","GRU","barato","barato","0","48","0.00","41.04"
"desconto estacionamento aeroporto guarulhos terminal 3","GRU","barato","barato","0","26","0.00","52.12"
"desconto estacionamento aeroporto viracopos","VCP","barato","barato","0","1","0.00","1.00"
"diaria aeroporto afonso pena","CWB","preco","preco","0","83","0.00","9.90"
"diaria aeroporto confins","CNF","preco","preco","0","7","0.00","1.00"
"diaria aeroporto confins estacionamento","CNF","preco","preco","0","5","0.00","1.00"
"diaria aeroporto de confins","CNF","preco","preco","0","21","0.00","14.95"
"diaria aeroporto de guarulhos","GRU","preco","preco","0","106","0.00","14.89"
"diaria aeroporto guarulhos estacionamento","GRU","preco","preco","0","8","0.00","6.25"
"diaria aeroporto viracopos","VCP","preco","preco","0","292","0.00","5.56"
"diaria carro aeroporto curitiba","CWB","preco","preco","0","13","0.00","7.08"
"diaria carro aeroporto guarulhos","GRU","preco","preco","0","95","0.00","23.07"
"diaria de estacionamento aeroporto confins","CNF","preco","preco","0","6","0.00","1.00"
"diaria de estacionamento aeroporto de confins","CNF","preco","preco","0","1","0.00","1.00"
"diaria de estacionamento aeroporto de guarulhos","GRU","preco","preco","0","47","0.00","41.13"
"diaria de estacionamento aeroporto guarulhos","GRU","preco","preco","0","6","0.00","40.83"
"diaria de estacionamento em guarulhos","GRU","preco","preco","0","25","0.00","50.24"
"diaria de estacionamento no aeroporto de curitiba","CWB","preco","preco","0","57","0.00","7.33"
"diaria do aeroporto de guarulhos","GRU","preco","preco","0","52","0.00","12.96"
"diaria do estacionamento aeroporto de guarulhos","GRU","preco","preco","0","1","0.00","1.00"
"diaria do estacionamento do aeroporto de confins","CNF","preco","preco","0","8","0.00","6.13"
"diaria do estacionamento do aeroporto de guarulhos","GRU","preco","preco","0","1","0.00","28.00"
"diaria do estacionamento do aeroporto de viracopos","VCP","preco","preco","0","10","0.00","8.20"
"diaria do estacionamento no aeroporto de guarulhos","GRU","preco","preco","0","64","0.00","30.69"
"diaria edificio garagem viracopos","VCP","preco","preco","0","22","0.00","8.95"
"diaria estacionamento aeroporto campinas","VCP","preco","preco","0","104","0.00","10.12"
"diaria estacionamento aeroporto confins","CNF","preco","preco","0","27","0.00","5.74"
"diaria estacionamento aeroporto de confins","CNF","preco","preco","0","63","0.00","17.95"
"diaria estacionamento aeroporto de guarulhos","GRU","preco","preco","0","48","0.00","32.77"
"diaria estacionamento aeroporto guarulhos","GRU","preco","preco","0","399","0.00","21.03"
"diaria estacionamento gru","GRU","preco","preco","0","77","0.00","40.62"
"diaria estacionamento guarulhos","GRU","preco","preco","0","146","0.00","37.49"
"diaria estacionamento guarulhos aeroporto","GRU","preco","preco","0","43","0.00","50.93"
"diaria estacionamento rodoviaria curitiba","CWB","preco","preco","0","3","0.00","2.33"
"diaria estacionamento terminal 3 guarulhos","GRU","preco","preco","0","2","0.00","1.00"
"diaria estacionamento viracopos campinas","VCP","preco","preco","0","1","0.00","12.00"
"diaria no aeroporto de confins","CNF","preco","preco","0","11","0.00","3.27"
"diaria no estacionamento do aeroporto de guarulhos","GRU","preco","preco","0","86","0.00","31.88"
"diaria patio guarulhos","GRU","preco","preco","0","1","0.00","3.00"
"distancia ate aeroporto guarulhos","GRU","proximidade","proximidade","0","1","0.00","1.00"
"distancia congonhas a guarulhos","GRU","proximidade","proximidade","0","1","0.00","12.00"
"distancia de campinas a aeroporto de guarulhos","GRU","proximidade","proximidade","0","2","0.00","73.50"
"distancia de viracopos a sao paulo","VCP","proximidade","proximidade","0","2","0.00","2.00"
"distancia do aeroporto de campinas para guarulhos","GRU","proximidade","proximidade","0","1","0.00","54.00"
"distancia do bh shopping ao aeroporto de confins","CNF","proximidade","proximidade","0","1","0.00","1.00"
"distancia entre aeroporto de guarulhos e rodoviaria tiete","GRU","proximidade","proximidade","0","1","0.00","2.00"
"distancia entre fazenda rio grande e curitiba","CWB","proximidade","proximidade","0","1","0.00","2.00"
"distancia viracopos a sao paulo","VCP","proximidade","proximidade","0","1","0.00","1.00"
"distância até o aeroporto de confins","CNF","proximidade","proximidade","0","2","0.00","2.00"
"distância confins belo horizonte","CNF","proximidade","proximidade","0","1","0.00","2.00"
"distância piracicaba aeroporto viracopos","VCP","proximidade","proximidade","0","1","0.00","3.00"
